110|21151
511|19834
263|18353
463|18328
796|18272
96|17893
568|17336
196|17158
314|17097
257|16974
268|16907
192|16904
269|16522
140|16418
532|16297
260|16271
129|16265
137|16181
341|15926
68|15850
14|15820
821|15778
779|15763
530|15749
825|15554
976|15550
645|15493
133|15313
277|15287
254|15235
898|15214
833|15147
843|15108
864|15089
428|15060
282|15031
158|14978
234|14965
659|14956
853|14954
570|14915
172|14900
121|14872
725|14842
451|14804
155|14780
381|14764
686|14734
983|14713
253|14701
904|14698
194|14696
687|14609
376|14595
662|14571
317|14501
615|14459
886|14456
496|14425
305|14379
178|14324
4|14288
322|14285
402|14284
861|14280
655|14277
415|14222
722|14214
343|14207
264|14142
857|14139
111|14128
609|14123
859|14116
461|14095
66|14086
231|14075
869|14058
885|14043
162|14040
989|14034
249|14034
760|14027
29|13914
432|13900
992|13876
612|13871
223|13846
330|13841
295|13819
345|13809
371|13794
691|13793
49|13778
852|13736
139|13734
799|13720
273|13713
849|13704
839|13704
