568|363
952|351
96|336
110|309
254|307
650|306
178|303
825|298
263|297
423|294
420|294
146|294
131|292
284|291
988|289
932|289
612|289
532|289
570|288
511|287
402|287
129|285
303|284
463|281
796|281
635|280
196|280
821|279
514|279
260|278
375|277
411|276
410|275
451|275
15|274
437|273
853|273
850|272
491|271
815|271
947|270
268|269
432|269
904|268
314|267
187|267
288|267
975|267
276|266
313|266
111|266
365|266
152|265
278|265
502|265
301|265
875|264
240|264
507|263
885|263
407|263
296|263
10|263
628|263
384|263
305|263
136|263
845|262
964|261
157|261
381|260
526|260
140|260
525|260
450|259
966|259
133|259
791|259
428|258
976|258
841|258
121|257
609|257
687|257
310|256
460|256
371|256
92|256
258|256
329|255
72|255
297|255
995|255
257|255
66|254
19|254
679|254
231|254
317|254
698|254
